Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638db038e382e24c7f4a969d,5ff458933803bbb00107e417,APPROVED,2022-12-05T08:47:52.218000Z,2022-12-05T09:09:54.848000Z,2022-12-05T12:46:58.907000,2022-12-05T09:09:55.254185Z,1323,C648PKXQ,822,29,Female,White,Portugal,United Kingdom,Portugal,Portuguese,No,Full-Time
638db039ee03b89d7bf924a6,63658b4da2cc06a1cf53887c,APPROVED,2022-12-05T08:48:56.217000Z,2022-12-05T09:00:52.048000Z,2022-12-05T12:46:59.003000,2022-12-05T09:00:52.380377Z,716,C648PKXQ,66,39,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
638db03aa3e3118411ef5238,62d74d71b0066f8989cf9508,APPROVED,2022-12-05T08:47:54.807000Z,2022-12-05T08:54:48.801000Z,2022-12-05T12:46:59.100000,2022-12-05T08:54:49.152091Z,414,C648PKXQ,139,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db03bd1ac15343c987563,5e98ce846515431026d195c6,APPROVED,2022-12-05T08:47:55.964000Z,2022-12-05T09:08:06.291000Z,2022-12-05T12:46:59.196000,2022-12-05T09:08:06.643902Z,1211,C648PKXQ,1009,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db040d48d4b5c39bf2fec,5ac8a695e1099600016aaae4,APPROVED,2022-12-05T08:48:00.605000Z,2022-12-05T08:53:27.311000Z,2022-12-05T12:46:59.296000,2022-12-05T08:53:27.709471Z,327,C648PKXQ,1677,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638db04158bebc2e967c0e46,5950fb26ad2ce90001b87bc4,APPROVED,2022-12-05T08:48:01.901000Z,2022-12-05T08:56:05.444000Z,2022-12-05T12:46:59.400000,2022-12-05T08:56:05.779695Z,484,C648PKXQ,527,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638db042d42725cae843dbbd,62e15cf3292b1d7059206b0c,APPROVED,2022-12-05T08:48:02.512000Z,2022-12-05T08:56:33.539000Z,2022-12-05T12:46:59.502000,2022-12-05T08:56:33.937521Z,512,C648PKXQ,348,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0430f0ce05aae03768e,5bf571c7d944c300012629cf,APPROVED,2022-12-05T08:48:06.667000Z,2022-12-05T08:55:18.823000Z,2022-12-05T12:46:59.598000,2022-12-05T08:55:19.257171Z,433,C648PKXQ,884,42,Male,White,Germany,United Kingdom,United Kingdom,English,No,Full-Time
638db043510fc9775880e3c4,5c4cdcb14cb4630001ec4955,APPROVED,2022-12-05T08:48:09.605000Z,2022-12-05T09:02:50.963000Z,2022-12-05T12:46:59.694000,2022-12-05T09:02:51.295843Z,882,C648PKXQ,668,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638db044b6173e68949ed557,616497d6e4af3c44bb74e371,APPROVED,2022-12-05T08:48:10.085000Z,2022-12-05T09:03:01.309000Z,2022-12-05T12:46:59.796000,2022-12-05T09:03:01.656943Z,892,C648PKXQ,194,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0463e76093a04624129,587b38ec3962c30001276c81,APPROVED,2022-12-05T08:48:46.391000Z,2022-12-05T08:55:30.533000Z,2022-12-05T12:46:59.892000,2022-12-05T08:55:30.864660Z,405,C648PKXQ,1638,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0470c95ac92e078fe60,5eb2dfd7b9a7c108fbeecc24,APPROVED,2022-12-05T08:48:11.161000Z,2022-12-05T08:54:26.274000Z,2022-12-05T12:46:59.989000,2022-12-05T08:54:26.704040Z,376,C648PKXQ,403,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
